Company Sp. z o.o.             Advance Tax Return: Report Date 01.01.2015 to 31.12.2999             Time 16:01:26     Date  27.04.2015
Warsaw            Ledger 0L                                                                   RUMUFDV01/S.PACZKOWSKA Page           1


		Output tax: Line items

			Type		DocumentNo		Reference		Pstng Date		Doc. Date	Rep. Date		Document Header Text		Customer		Business PartnerName		Name 2	Street	City	PostalCode	G/L	ISO	Tax Number 3	VAT Registration No.	Trs	Tx	Description	Rate	           Gross amount	        Tax base amount	 Output Tax Pay.	Tax acct

			D5		1400002083		1000004047		01.04.2015		01.04.2015	01.04.2015		384		51486358								75882000			5272320980	MWS	A8	Output tax 23%	 23,000	-0,01	-0,01	           0,00	44270000
	*		D5																													-0,01	-0,01	           0,00
			R1		8100000001		5100000004		01.04.2015		01.04.2015	31.12.2098				52048360								70700000				MWS	A8	Output tax 23%	 23,000	                 13,00	                 10,57	           2,43	44270000
			R1		8100000004		8000000002		01.04.2015		01.04.2015	31.12.2098				52205095								70700000				MWS	A8	Output tax 23%	 23,000	                 35,01	                 28,46	           6,55	44270000
			R1		8100000004		8000000002		01.04.2015		01.04.2015	31.12.2098				52205095								70700000				MWS	A8	Output tax 23%	 23,000	                 15,00	                 12,20	           2,80	44270000
			R1		8100000004		8000000002		01.04.2015		01.04.2015	31.12.2098				52205095								70700000				MWS	A8	Output tax 23%	 23,000	                 79,00	                 64,23	          14,77	44270000
			R1		8100000005		8000000003		01.04.2015		01.04.2015	31.12.2098				52052761								70700000				MWS	A8	Output tax 23%	 23,000	                 25,01	                 20,33	           4,68	44270000
			R1		8100000005		8000000003		01.04.2015		01.04.2015	31.12.2098				52052761								70700000				MWS	A8	Output tax 23%	 23,000	                 15,00	                 12,20	           2,80	44270000
			R1		8100000005		8000000003		01.04.2015		01.04.2015	31.12.2098				52052761								70401000				MWS	YA	Output tax technical code	  0,000	                109,00	                109,00	           0,00	44270000
			R1		8100000005		8000000003		01.04.2015		01.04.2015	31.12.2098				52052761								70700000				MWS	A8	Output tax 23%	 23,000	              1.088,00	                884,55	         203,45	44270000
			R1		8100000200		8000000006		01.04.2015		01.04.2015	31.12.2098				52048360								70700000				MWS	A8	Output tax 23%	 23,000	                 13,00	                 10,57	           2,43	44270000
			R1		8100000200		8000000006		01.04.2015		01.04.2015	31.12.2098				52048360								70700000				MWS	A8	Output tax 23%	 23,000	                 15,00	                 12,20	           2,80	44270000
			R1		8100000426		8000000009		02.04.2015		02.04.2015	31.12.2098				51890662								70700000				MWS	A8	Output tax 23%	 23,000	                 39,00	                 31,71	           7,29	44270000
			R1		8100000436		8000000012		02.04.2015		02.04.2015	31.12.2098				51909093								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100000437		8000000015		02.04.2015		02.04.2015	31.12.2098				51921730								70700000			5961364680	MWS	A8	Output tax 23%	 23,000	              2.178,99	              1.771,54	         407,45	44270000
